id,text
338,"Де люди, там і лихо"
339,"Де можна лантух, там торби не треба"
340,"Де не горить, там ся не курить"
341,"Де незгода, там часто шкода"
342,"Де не можна перескочити, то треба перелізти"
343,"Де не стає вовчої шкури, настав лиса"
344,"День біжить, а три дні лежить"
345,День і ніч – сутки пріч
346,День мій – вік мій
347,"Де оком не доглянеш, там калиткою доплатиш"
348,"Де пси свої гризуться, там чужий не мішайся"
349,"Де п’ють, там без шкоди не бува, аби здорова наша голова"
350,"Де п’ють,  там і ллють"
351,Дере з живого й мертвого
352,Держи копієчку про чорний день
353,"Держиться, як вош кожуха"
354,"Дере голову, як попова кобила"
355,Дереться на стійку
356,"Де Рим, де Крим, а де попова груша"
357,"Де робить купа, не болить біля пупа"
358,"Десь которий добре христив, що так далеко звертає"
359,Десята шкура на киселі
360,"Де той у бога Великдень, а він вже з крашанками"
361,Дешевої рибки і юха дешева
362,"Дивись: пан, а балакає, як люди"
363,"Дивиться лисицею, а думає вовком"
364,"Дивиться, як собака на висівки"
365,"Дивиться, як теля на нові ворота"
366,"Дивиться, як чорт на попа"
367,"Диво не диво, що кобила здохла, але хто дав псам знати, що ззіли її"
368,"Диво не решето: багацько дірок, та нікуди вилізати"
369,Димом (догори) пішло
370,Дим стовпами
371,"Дід твій дриґа: піймав жабу, та й каже риба"
372,"Діждемо тої години, що будуть по шелягу дині"
373,"Дізнаєшся, по чім ківш лиха"
374,"Дізнатися, що в печі є"
375,Дістанеться на горіхи (на кабачки)
376,Діти батька не вчать
377,Для милого друга й вола з плуга
378,Для приятеля нового не пускайся старого
379,"Дми, дми, не к Різдву, а к Великодню!"
380,"Дмись, не дмись, а волом не будеш"
381,"До бога високо, до царя далеко, а ті панки що хтять, то й роблять"
382,"Добравсь, як вовк до кошари"
383,"Добра, як з курки молока, а з верби петрушки"
384,"Добре вогонь горить, як є чим підпалити"
385,Добре все по мірі
386,"Добре говорить, а зле творить"
387,"Добре добувши, кращого не шукай"
388,Добре начало – половина діла
389,"Добре співає, та низько сідає"
390,"Добре сулиш, та не гарно міриш"
391,"Добре тому, хто вдвох"
392,"Добре чорту в дудку грати, сидячи в очереті: одну зломить, другу виріже"
393,Добрий та на доброго наскочив: один другому не видасть
394,"Добрий товар пояси: що продаси, то й поїси"
395,Добрі очі все перелупають
396,Доброму вору все впору
397,"Добувся, як швед під Полтавою"
398,"Довго ходила, мертва родила"
399,Довелося свині неба побачити
400,Довелося яйцям кури вчить
401,"Догоджає, як чирякові на роті"
402,"Діждалася Великодня, та не їсти яєць"
403,"Діждусь і я тії години, що будуть по шагу дині"
404,Дожився до самого краю
405,"Дозволь собаці лапу на стіл, то він і цілий втеребиться"
406,До камня зруйнувати
407,"Доки не намучиться, доти не научиться"
408,Доки не поберуться – любляться: а як поберуться – судяться
409,Доки сонце зійде – роса очі виїсть
410,Докотив до самого краю
411,"Дома лев, а на війні тхір"
412,До нашого берега ніщо добре не припливе
413,До несхочу їж
414,"До обід ложка, а після обід не треба"
415,"Допавсь, як муха до меду"
416,Допекла гірш од сирої кваші
417,"Дорогі гості, та в середу трапились"
418,Дорога ложка до обіда
419,Дороге яєчко к Великодню
420,Дорогий шаг до сповіддя
421,До свого роду хоч через воду
422,До смерти учиться чоловік
423,До схочу їж
424,До цурки побити
425,Дочекався чортової мами
426,Дочку мати хвалила – поки з рук звалила
427,"До чого бик привик удень, того реве й уночі"
428,Др...вая корова все стадо об...ще
429,Дурень думкою багатіє
430,Дурень нічим ся не журить: горілку п’є і люльку курить
431,Дурна мати – дурні діти
432,Дурневі бог щастя дає
433,Дурне сало
434,"Дурний, як турецький кінь"
435,"Дурний, аж гуде"
436,"Дурний, аж крутиться"
437,"Дурний, аж очі йому рогом лізуть"
438,"Дурний, аж світиться"
439,"Дурний, як баран"
440,"Дурний, як сало"
441,"Дурний, як сосновий пень"
442,"Дурний, як чобіт"
443,"Дурнів не сіють, не орють, а сами родяться"
444,Дурніший од попа
445,"Дурному гори немає, а все низ"
446,"Дурному бог дасть щастя, та не дасть розуму"
447,Дурному море по коліна
448,Дурням закон не писаний
449,"Е, вже на мене зуби гострять"
450,"Еге, ця на обидві кована"
451,"Еге, як би то так!"
452,"Е, якби, та якби, та виросли на голові гриби, то був би огород"
453,"Є в глеку молоко, та голова не влізе"
454,"Є в глеку молоко, та голова не влізе (.	розбить та в корито налить – можна без ложки наїстись)"
455,"Єдині руки право пишуть, а єдині і мажуть"
456,Єдин цвіт не робить вінка
457,Єдна ластівка не робить весни
458,"Є каяття, та нема воріття"
459,"Є ложка, та в мисці нема"
460,"Є сало, та не для кота"
461,"Є сало, та не можна дістати: високо висить"
462,"Жалкує за вчорашнім днем, що добрий був"
463,"Жахається, як чорт хреста"
464,"Ждала, ждала, та й годі сказала"
465,"Ждали, ждали, та й жданики поїли"
466,"Ждали, ждали, та й ждання погубили"
467,"Жде, як віл обуха"
468,"Жди, море, погоди"
469,"Живемо, як горох при дорозі: хто не йде, той і скубне"
470,"Живе так, як сорока на тину, хто йде – сполохне"
471,"Живеш, як у решеті: відки вітер подме, то повні хати"
472,"Живись, та під себе дивись"
473,"Живіт товстий, а лоб пустий"
474,"Живуть, як кішка з собакою"
475,"Жиє, не жиє – паскудить своїм світом"
476,"Жили-жили, та чорт зна, де ділися"
477,"Життя їм, як у христа за пазухою"
478,"Життя наше, як павутиння"
479,Життя провадить собаче
480,"Життя, як собаці на перелазі"
481,Жить – не вола кормить
482,"Жінки довге волосся мають, а розум короткий"
483,За багачем сам чорт з калачем
484,"Забажалось, мов перед смертю"
485,Забажалося в Петрівку мерзлого
486,Забажав печеної криги
487,"Забий діру, собака не полізе"
488,"За більшим поженись,  та й того рішись"
489,Заблукав межи хатою й коморою
490,"Забравсь у чужу солому, та ще й шелестить"
491,"Забула, що недужа, та в солому спать пішла"
492,"Заварив кашу, так і їж"
493,За великим носом нічого не бачить
494,"Завзяте, як панське щеня"
495,"Завидно, що в когось видно"
496,"За все гаразд, за все добре, що жінка маленька; він поб’є й полає – вона веселиться"
497,За водою пішло
498,За вухо на сухе
499,"Загадай дурному богу молиться, – він і голову розіб’є"
500,"Загинув, як руда миша"
501,"Загоїться, поки весілля скоїться"
502,"За гоню блоху б’є, а під носом ведмідь реве"
503,За дев’ятими ворітьми гавкнеш
504,Задніх не пасе
505,"Задумався, як собака в човні"
506,За дурною головою і ногам нема покою
507,За злиднями (через злидні) й світа не бачить
508,За кавалок кишки сім миль пішки
509,"Закон, як помийниця, що в нього налий, тим і смердітиме"
510,"Заліз, як муха в патоку"
511,"Заманулось, як серед зими криги"
512,"Замішався, як полоник межи ложками"
513,Замкнув вовка межи вівці
514,За моє жито (та) мене (ж) і бито
515,"За морем вовк три гроші, та руб перевозу"
516,"За морем телушка полушка, та перевіз дорог"
517,"Замотати, зав’язати, та нікому не казати"
518,За невміння деруть реміння
519,"За нужди козак жениться, по неволі дівка заміж іде"
520,Занюхала ковбасу в борщі
521,За онучу збивати бучу
522,Запас біди не чинить
523,Запас у гузно не коле
524,За початком діло становиться
